"univID","stl","ips","mds","mdf","maf","lps","ips.prop","ect","tpg","mav","mcv","mpt","cle","pmx","ds1","ds2","lpt","ds3"
"Fos.K.03.128",45.96,1,1,10,9,0,0.333333333333333,5.67,1.17,14,20,5,6.22,2.22,0,0,1,1.2
"Fos.K.03.134",47.07,1,1,10,9,0,0.333333333333333,5.11,2.21,14,19,5,NA,2.07,0,0,1.36,1.2
"Fos.K.03.139",45.57,1,1,10,9,0,0.333333333333333,6.03,1.54,NA,19,7,NA,NA,0,0,1.47,1.49
"Fos.K.03.140",39.93,1,0,9,7,0,0.333333333333333,5.57,1.2,15,19,4,6.94,2.19,NA,NA,0.86,NA
"Fos.K.03.143",61.47,1,1,11,10,0,0.333333333333333,3.89,NA,NA,19,5,8.54,NA,0,0,0.98,1.59
"Fos.K.03.144",37.47,1,1,10,9,0,0.333333333333333,5.02,1.32,14,19,4,NA,1.56,0,0,NA,1.34
"Fos.K.03.147",40.7,NA,0,9,8,NA,NA,5.45,NA,NA,19,NA,4.39,1.8,NA,NA,NA,0.86
"Fos.K.03.149",51.6,1,1,10,9,0,0.333333333333333,7.65,1.43,14,19,4,7.94,2.8,0,0,0.83,1.51
"Fos.K.03.015",43.07,NA,1,9,8,NA,NA,NA,NA,14,19,6,6.19,NA,0,0,1.27,1.21
"Fos.K.03.151",46.93,0,1,9,8,0,0,6.88,0,NA,20,5,NA,2.65,0,0,0.97,1.83
"Fos.K.03.017",38.57,NA,1,11,9,NA,NA,NA,NA,NA,20,6,NA,1.56,0,0,1.23,1.35
"Fos.K.03.170",52.12,1,1,10,8,0,0.333333333333333,7.07,2.53,14,19,5,NA,2.75,0,0,1.05,1.33
"Fos.K.03.018",47.8,1,1,10,9,0,0.333333333333333,6.78,2.28,14,20,5,6.53,2.22,0,0,1.11,1.26
"Fos.K.03.180",31.4,1,1,7,NA,0,0.333333333333333,4.32,0.88,14,18,NA,5.02,1.55,0,0,NA,1.3
"Fos.K.03.184",44.8,1,1,10,8,0,0.333333333333333,6.34,2.15,14,19,5,5.88,1.69,0,0,0.93,1.75
"Fos.K.03.185",59.62,1,1,10,8,0,0.333333333333333,8.2,2.31,14,19,6,8.4,3.07,0,0,0.92,1.62
"Fos.K.03.186",40.01,1,1,11,9,0,0.333333333333333,6.14,2.27,14,19,5,5.41,2.35,0,0,1.21,1.01
"Fos.K.03.187",39.62,1,1,10,9,0,0.333333333333333,5.89,1.35,14,19,4,NA,2.26,0,0,NA,1.09
"Fos.K.03.191",40.59,1,1,10,9,0,0.333333333333333,NA,0.61,14,19,NA,6.32,1.98,0,0,1.05,1.1
"Fos.K.03.192",35.76,1.4,2,10,8,0,0.466666666666667,5.43,4.06,NA,19,6,5.75,NA,0,2.9,1.59,1.5
"Fos.K.03.193",41.95,NA,1,9,8,NA,NA,4.366,NA,NA,20,5,NA,2.29,0,0,1.08,0.99
"Fos.K.03.197",59.28,1,1,10,8,0,0.333333333333333,8.67,2.29,14,19,5,8.33,NA,0,0,1.47,1.7
"Fos.K.03.199",49.39,1,1,10,9,0,0.333333333333333,6.86,1.86,14,19,5,7.19,2.58,0,0,1.35,1.48
"Fos.K.03.020",43.13,0,1,10,8,0,0,5.96,0,14,19,5,NA,2.03,0,0,1.19,1.45
"Fos.K.03.202",48.99,1,1,11,9,0,0.333333333333333,7.53,2.41,NA,19,NA,NA,NA,0,0,1.26,1.84
"Fos.K.03.003",48.84,0,1,9,8,0,0,7.46,0,14,19,5,7.05,NA,0,0,1.32,1.33
"Fos.K.03.030",48.51,1,1,10,9,0,0.333333333333333,NA,1.18,15,19,5,7.61,2.68,0,0,1.11,1.28
"Fos.K.03.034",55.94,1,1,9,8,0,0.333333333333333,8.67,1.65,14,18,5,8.55,3.1,0,0,1.89,1.28
"Fos.K.03.004",55.26,1,1,10,9,0,0.333333333333333,6.74,1.61,14,19,5,NA,NA,0,0,1.23,1.43
"Fos.K.03.040",53.3,1,1,9,8,0,0.333333333333333,6.91,1.7,NA,18,5,6.58,1.93,0,0,1.95,1.43
"Fos.K.03.043",37.22,1,1,9,8,0,0.333333333333333,5.57,1.1,NA,19,5,NA,2.01,0,0,0.84,0.9
"Fos.K.03.046",39.72,1,1,9,9,0,0.333333333333333,5.34,1.48,14,20,5,NA,1.9,0,0,0.7,1.32
"Fos.K.03.047",53.29,1,1,10,9,0,0.333333333333333,7.41,1.37,NA,18,5,NA,2.46,0,0,1.44,1.85
"Fos.K.03.048",49.78,1,1,9,8,0,0.333333333333333,NA,1.86,14,19,5,NA,2.31,0,0,1.13,1.52
"Fos.K.03.051",46.84,1,1,9,8,0,0.333333333333333,7.34,1.88,13,19,6,7.34,2.06,0,0,1.63,0.87
"Fos.K.03.006",72.1,1,1,9,8,0,0.333333333333333,9.76,2.5,14,19,5,10.52,3.78,0,0,2.67,1.31
"Fos.K.03.069",59.76,NA,1,9,8,NA,NA,NA,NA,NA,19,NA,9.62,3.02,0,0,NA,NA
"Fos.K.03.074",53.59,1,1,10,9,0,0.333333333333333,7.85,1.85,NA,19,5,NA,NA,0,0,1.94,1.74
"Fos.K.03.077",48.27,1,2,10,7,0,0.333333333333333,7.5,2.08,14,19,6,6.91,NA,2.36,NA,1.49,1.49
"Fos.K.03.078",75.41,NA,2,NA,NA,NA,NA,11.66,2.75,14,19,NA,12.1,4.13,NA,NA,3.33,1.64
"Fos.K.03.008",72.43,1,1,11,9,0,0.333333333333333,9.23,3.05,14,19,6,9.56,3.29,0,0,1.2,1.77
"Fos.K.03.090",42.56,1,1,10,8,0,0.333333333333333,6.09,0.59,14,19,5,NA,2.31,0,0,1.13,1.13
"Fos.K.03.092",56.91,1,2,10,9,0,0.333333333333333,8.56,1.83,14,19,6,8.35,3.09,0,3.52,1.32,1.62
"Fos.K.03.094",47.89,0,1,9,8,0,0,7.4,0,14,19,6,7.66,2.04,0,0,1.24,1.56
"Fos.K.03.095",36.82,1,1,8,9,0,0.333333333333333,NA,0.86,14,19,6,NA,NA,0,0,0.81,1.36
"Fos.K.03.096",36.89,1,1,10,9,0,0.333333333333333,4.89,1.23,14,19,5,NA,1.62,0,0,1.46,1.16
"Fos.K.03.098",44.52,0,1,10,9,0,0,5.83,0,14,19,5,6.17,1.83,0,0,1.54,1.19
