univID,stl,ips,mds,mdf,maf,lps,ips.prop,ect,tpg,mav,mcv,mpt,cle,pmx,ds1,ds2,lpt,ds3,lps.sc,ect.sc,tpg.sc,cle.sc,pmx.sc,ds1.sc,ds2.sc,lpt.sc,ds3.sc
Fos.K.11.096,56.97,1,0,9,8,0,0.333333333,9.51,3.26,14,20,5,10.23,3.13,NA,NA,1.87,NA,0,9.049772575,3.098500494,9.717620821,2.941934691,NA,NA,1.802241456,NA
Fos.K.11.102,56.15,1,1,10,9,0,0.333333333,7.52,2.08,NA,20,6,7.95,2.76,0,0,1.87,1.32,0,7.254934103,2.0049359,7.659910283,2.63901041,0,0,1.820733127,1.298821647
Fos.K.11.114,45.31,3,NA,10,8,2.82,1,NA,6.16,14,19,NA,7.24,NA,NA,NA,NA,NA,3.167978072,NA,7.309945422,8.608212803,NA,NA,NA,NA,NA
Fos.K.11.117,43.9,1,2,9,8,0,0.333333333,6.83,1.91,14,20,6,7.16,1.99,0,3.82,1.7,0.89,0,8.317336708,2.337087111,8.78104351,2.545300251,0,4.152824016,1.968390237,0.972649719
Fos.K.11.118,62.4,1,2,10,9,0,0.333333333,NA,3.03,14,20,5,NA,3.98,0,3.72,1.61,2.2,0,NA,2.636646254,NA,3.359167419,0,3.511911216,1.455319641,2.069416284
Fos.K.10.006,41.8,1.4,0,9,7,0,0.466666667,6.58,3.48,14,19,5,NA,NA,NA,NA,1.11,NA,0,8.393343947,4.465350652,NA,NA,NA,NA,1.330375529,NA
Fos.K.10.016,44.96,1,2,11,10,0,0.333333333,6.32,2.19,NA,20,5,6.86,2.28,0,4.2,1.57,1.77,0,7.524455294,2.618435755,8.218638207,2.835121366,0,4.522428879,1.787583066,1.914784956
Fos.K.10.019,39.42,1,1,10,9,0,0.333333333,NA,1.75,14,19,5,6.47,1.92,0,0,1.43,1.4,0,NA,2.376799489,8.817856374,2.78900954,0,0,1.786131304,1.601896167
Fos.K.10.023,51.91,1,2,10,9,0,0.333333333,NA,2.19,14,20,5,NA,2.82,0,4.66,1.63,2.1,0,NA,2.277893085,NA,2.958630958,0,4.736528835,1.677262788,2.136679425
Fos.K.10.030,56.99,1.2,1,9,8,0,0.4,7.56,4.8,14,20,5,NA,2.36,0,0,2.28,1.91,0,7.191751768,4.560657397,NA,2.217279744,0,0,2.196842313,1.867489805
Fos.K.10.033,40.92,1,1,10,9,0,0.333333333,5.26,1.9,13,20,5,NA,1.88,0,0,1.27,1.91,0,6.846041314,2.488782466,NA,2.612963806,0,0,1.545116784,2.150907001
Fos.K.10.035,41.65,1,2,9,8,0,0.333333333,6,2.52,14,19,5,5.92,NA,0,4.04,1.36,1.73,0,7.679586708,3.244817068,7.644578432,NA,0,4.485697618,1.634140778,1.933565119
Fos.K.10.041,63.62,NA,1,10,8,NA,NA,NA,NA,NA,20,5,NA,2.83,0,0,1.94,2,NA,NA,NA,NA,2.334502058,0,0,1.729869887,1.865814083
